Ингредиент,Единица измерения,Калорийность
Абрикос консервированный,кг,86.0
Абрикосы,кг,40.5
Абсент,л,140.0
Авокадо,кг,190.7
Агар пищевой,кг,320.0
Аджика перечная,кг,16.0
Айва,кг,38.5
Айран кисломолочный,кг,56.4
Акула,кг,142.6
Алыча,кг,26.4
Альгинат Натрия (Sodium Alginat),кг,0.9
Ананас,кг,49.4
Ананас консервированный,кг,65.4
Ангостура настойка,кг,0.0
Анчоус атлантический свежий,кг,135.3
Анчоус консервированный в масле,кг,190.8
Апельсин,кг,37.8
Арбуз,кг,39.8
Ароматизатор идентичный натуральному,кг,0.0
Артишоки,кг,29.7
Артишоки консервированные,кг,60.2
Багет для французского хот-дога, 185 мм,шт,236.5
Багет французский,кг,277.5
Баклажаны,кг,26.1
Балык Маслянной рыбы х/к,кг,194.1
Балык Палтуса х/к,кг,177.3
Балык осетровый вяленый (провесной),кг,177.3
Балык осетровый холодного копчения,кг,194.1
Балык сома провесной (спинка),кг,177.3
Балык толстолоба провесной (спинка),кг,177.3
Бамия свежая,кг,32.2
Бананы,кг,90.9
Баранина Мякоть,кг,197.6
Баранина Ребра,кг,197.6
Баранина Семенники,кг,100.9
Баранина задняя нога на кости,кг,197.6
Баранина корейка (Каре молодого барашка),кг,257.1
Баранина легкое,кг,83.1
Баранина печень,кг,100.9
Баранина сердце,кг,85.5
Баранки простые,кг,309.7
Бастурма в специях,кг,146.0
Батат,кг,119.2
Батон нарезной,шт,257.0
Бекон с прослойками жира,кг,275.6
Бехеровка Настойка,л,0.0
Бисквит (по типовой рецептуре),кг,479.6
Бифштекс говяжий из рубленного мяса,кг,170.1
Бифштекс куриный из рубленного мяса в панировке,кг,250.8
Блины фаршированные с/м,шт,184.2
Бобы черные,кг,348.6
Брусника,кг,39.3
Бублик пшеничный,шт,261.5
Булгур Крупа,кг,364.6
Булочка Чили 125*125 мм,шт,262.0
Булочка баварская,кг,308.3
Булочка городская (мука пшеничная высшего сорта),шт,260.8
Булочка для гамбургера 100 мм,шт,265.0
Булочка для гамбургера 110 мм,шт,267.0
Булочка для гамбургера 125 мм,шт,267.0
Булочка для гамбургера 125 мм мультизлаковая с чернилами каракатицы,шт,267.0
Булочка для гамбургера 90 мм,шт,267.0
Булочка для гамбургера с кунжутом 100 мм,шт,267.0
Булочка для гамбургеров,кг,276.6
Булочка для датского хот-дога с кунжутом,шт,267.0
Булочка пшеничная,шт,261.5
Булочка с солодом и кориандром п/ф,шт,308.7
Булочка сдобная,кг,335.4
Бульон сухой говяжий,кг,150.0
Бульон сухой грибной,кг,256.1
Бульон сухой куриный,кг,239.8
Бульон сухой овощной,кг,256.1
Бульон сухой рыбный,кг,239.8
Бумага упаковочная,шт,0.0
Валован из слоеного теста п/ф,кг,383.7
Ванильные палочки,кг,55.7
Варенье из айвы,кг,276.4
Варенье из вишни,кг,117.4
